Gene ID;Entrez Gene ID;Gene Symbol;Gene Name;Organism;Unigene ID;Ensembl ID;UniProt ID;Alias;Lifespan Effect;Phenotype Description;Longevity Influence;Max Lifespan Change;Avg Lifespan Change;Method;Bibliographic reference
1631;855926;CUP9;Cup9p;Saccharomyces cerevisiae;;YPL177C;;;decrease;Replicative lifespan increased by 30% in the alpha and a strains ;fitness;;30;Deletion;2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
255;176895;cutl-28;CUTiclin-Like;Caenorhabditis elegans;Cel.12970;F41A4.1;;;increase;RNA interference increased mean lifespan by 28%.;anti;;28;RNA interference;2233: Kim and Sun (2007) "Functional genomic approach to identify novel genes involved in the regulation of oxidative stress resistance and animal lifespan."  Aging Cell 6(4):489-503 (17608836)
1044;850376;CWH43;Calcofluor White Hypersensitive;Saccharomyces cerevisiae;;YCR017C;;;decrease;Mean chronological lifespan decreased in the a strain ;fitness;;;Deletion;2501: Matecic et al. (2010) "A microarray-based genetic screen for yeast chronological aging factors."  PLoS Genet. 6(4):e1000921 (20421943)
1044;850376;CWH43;Calcofluor White Hypersensitive;Saccharomyces cerevisiae;;YCR017C;;;decrease;Mean replicative lifespan decreased in the alpha and a strain ;fitness;;;Deletion;2500: Fabrizio et al. (2010) "Genome-wide screen in Saccharomyces cerevisiae identifies vacuolar protein sorting, autophagy, biosynthetic, and tRNA methylation genes involved in life span regulation."  PLoS Genet. 6(7):e1001024 (20657825)
144;178894;cwp-4;Coexpressed With Polycystins;Caenorhabditis elegans;Cel.34950;K11D12.1;;;increase;RNA interference extends lifespan.;anti;;;RNA interference;2236: Hamilton et al. (2005) "A systematic RNAi screen for longevity genes in C. elegans."  Genes Dev. 19(13):1544-1555 (15998808)
1891;855612;CYB5;Cyb5p;Saccharomyces cerevisiae;;;;;;Deletion of CYB5 does not affect chronological lifespan.;;;;Deletion;3506: Garay et al. (2014) "High-resolution profiling of stationary-phase survival reveals yeast longevity factors and their genetic interactions."  PLoS Genet. 10(2):e1004168 (24586198)
145;172582;cyc-1;Cytochrome c1;Caenorhabditis elegans;Cel.17378;C54G4.8;;;increase;RNAi resulted in a 80% increase in mean lifespan.;anti;;80;RNA interference;2426: Zuryn et al. (2010) "Mitochondrial dysfunction in Caenorhabditis elegans causes metabolic restructuring, but this is not linked to longevity."  Mech. Ageing Dev. 131(9):554-561 (20688098)
145;172582;cyc-1;Cytochrome c1;Caenorhabditis elegans;Cel.17378;C54G4.8;;;increase;RNA interference results in a 45-87% increase in mean lifespan.;anti;;87;RNA interference;2240: Hansen et al. (2005) "New genes tied to endocrine, metabolic, and dietary regulation of lifespan from a Caenorhabditis elegans genomic RNAi screen."  PLoS Genet. 1(1):119-128 (16103914)
200;177243;cyc-2.1;CYtochrome C;Caenorhabditis elegans;Cel.32687;E04A4.7;;;increase;RNA interference increased mean lifespan by 80%.;anti;;80;RNA interference;2233: Kim and Sun (2007) "Functional genomic approach to identify novel genes involved in the regulation of oxidative stress resistance and animal lifespan."  Aging Cell 6(4):489-503 (17608836)
1045;853507;CYC1;CYtochrome C;Saccharomyces cerevisiae;;YJR048W;;;decrease;Mean chronological lifespan decreased in the a strain by more than 50%;fitness;;50;Deletion;2502: Laschober et al. (2010) "Identification of evolutionarily conserved genetic regulators of cellular aging."  Aging Cell 9(6):1084-1097 (20883526)
1045;853507;CYC1;CYtochrome C;Saccharomyces cerevisiae;;YJR048W;;;decrease;Mean replicative lifespan decreased in the alpha and a strain ;fitness;;;Deletion;2500: Fabrizio et al. (2010) "Genome-wide screen in Saccharomyces cerevisiae identifies vacuolar protein sorting, autophagy, biosynthetic, and tRNA methylation genes involved in life span regulation."  PLoS Genet. 6(7):e1001024 (20657825)
1045;853507;CYC1;CYtochrome C;Saccharomyces cerevisiae;;YJR048W;;;decrease;Replicative lifespan decreased by 60% in the alpha strain ;fitness;;60;Deletion;2503: Managbanag et al. (2008) "Shortest-path network analysis is a useful approach toward identifying genetic determinants of longevity."  PLoS ONE 3(11):e3802 (19030232)
1046;854202;CYC2;CYtochrome C;Saccharomyces cerevisiae;;YOR037W;;;decrease;Mean replicative lifespan decreased in the alpha and a strain ;fitness;;;Deletion;2500: Fabrizio et al. (2010) "Genome-wide screen in Saccharomyces cerevisiae identifies vacuolar protein sorting, autophagy, biosynthetic, and tRNA methylation genes involved in life span regulation."  PLoS Genet. 6(7):e1001024 (20657825)
1414;851192;CYC3;CYtochrome C;Saccharomyces cerevisiae;;YAL039C;;;decrease;Replicative lifespan decreased by 20% in the alpha strain ;fitness;;20;Deletion;2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
2234;175853;cyk-3;cyk-3;Caenorhabditis elegans;;;;;increase;Downregulation of cyk-3 in post-reproductive rrf-3 worms (9 days) increased mean lifespan by 15%. ;anti;;15;RNA interference;4771: Wilhelm et al. (2017) "Neuronal inhibition of the autophagy nucleation complex extends life span in post-reproductive "  Genes Dev. 31(15):1561-1572 (28882853)
911;181462;cyp-13B1;CYtochrome P450 family;Caenorhabditis elegans;;F02C12.5;;;increase;20% mean lifespan extension;anti;;20;RNA interference post development;2421: Oliveira et al. (2009) "Condition-adapted stress and longevity gene regulation by Caenorhabditis elegans SKN-1/Nrf."  Aging Cell 8(5):524-541 (19575768)
147;185653;cyp-33E2;CYtochrome P450 family;Caenorhabditis elegans;Cel.12951;F42A9.5;;;increase;RNA interference increased mean lifespan by 18%.;anti;;18;RNA interference;2233: Kim and Sun (2007) "Functional genomic approach to identify novel genes involved in the regulation of oxidative stress resistance and animal lifespan."  Aging Cell 6(4):489-503 (17608836)
148;180236;cyp-42A1;CYtochrome P450 family;Caenorhabditis elegans;Cel.1528;Y80D3A.5;;;decrease;RNA interference decreased median lifespan by 39% in wild type animals, 77% in a daf-2 background and 37% in daf-2/daf-16 double mutants.;pro;;39;RNA interference;2239: Samuelson et al. (2007) "Gene activities that mediate increased life span of C. elegans insulin-like signaling mutants."  Genes Dev. 21(22):2976-2994 (18006689)
149;853452;CYR1;Adenylate cyclase;Saccharomyces cerevisiae;;YJL005W;;CDC35 FIL1 HSR1 SRA4 TSM0185;increase;Mutations in adenylate cyclase and SCH9, which is homologous to Akt/PKB, increase resistance to oxidants and extend LS by up to threefold. Stress-resistance transcription factors Msn2/Msn4 and protein kinase Rim15 are required for this lifespan extension. A transposon mutagenized allele of CYR1 extends chronological life span, as measured by stationary phase survival, by 90%.;anti;;90;Mutations;2346: Fabrizio et al. (2001) "Regulation of longevity and stress resistance by Sch9 in yeast."  Science 292(5515):288-290 (11292860)
149;853452;CYR1;Adenylate cyclase;Saccharomyces cerevisiae;;YJL005W;;CDC35 FIL1 HSR1 SRA4 TSM0185;increase;The CDC35-1 allele confers a 75% extension of replicative life span at 25 C;anti;;75;Mutation;2260: Lin et al. (2000) "Requirement of NAD and SIR2 for life-span extension by calorie restriction in Saccharomyces cerevisiae."  Science 289(5487):2126-2128 (11000115)
149;853452;CYR1;Adenylate cyclase;Saccharomyces cerevisiae;;YJL005W;;CDC35 FIL1 HSR1 SRA4 TSM0185;increase;Knocking out gene extends replicative lifespan by 75%.;anti;;75;Knockout;2274: Lin et al. (2002) "Calorie restriction extends Saccharomyces cerevisiae lifespan by increasing respiration."  Nature 418(6895):344-348 (12124627)
1569;853059;CYS4;CYStathionine beta-synthase;Saccharomyces cerevisiae;;YGR155W;;NHS5 STR4 VMA41;increase;Mean chronological lifespan increased in the a strain by more than 50%;anti;;50;Deletion;2502: Laschober et al. (2010) "Identification of evolutionarily conserved genetic regulators of cellular aging."  Aging Cell 9(6):1084-1097 (20883526)
1701;854231;CYT1;ubiquinol--cytochrome-c reductase catalytic subunit CYT1;Saccharomyces cerevisiae;;YOR065W;;CTC1 YOR29-16;increase;Replicative lifespan increased by 15% in the alpha strain;anti;;15;Deletion;2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
1701;854231;CYT1;ubiquinol--cytochrome-c reductase catalytic subunit CYT1;Saccharomyces cerevisiae;;YOR065W;;CTC1 YOR29-16;decrease;Replicative lifespan decreased by 20% in a strain;fitness;;20;Deletion;2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
1047;853775;CYT2;cytochrome c1 heme lyase CYT2;Saccharomyces cerevisiae;;YKL087C;;;decrease;Replicative lifespan decreased by 25% in the alpha strain ;fitness;;25;Deletion;2503: Managbanag et al. (2008) "Shortest-path network analysis is a useful approach toward identifying genetic determinants of longevity."  PLoS ONE 3(11):e3802 (19030232)
1047;853775;CYT2;cytochrome c1 heme lyase CYT2;Saccharomyces cerevisiae;;YKL087C;;;decrease;Replicative lifespan decreased by 25% in the alpha strain ;fitness;;25;Deletion;2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
1047;853775;CYT2;cytochrome c1 heme lyase CYT2;Saccharomyces cerevisiae;;YKL087C;;;decrease;Mean replicative lifespan decreased in the alpha and a strain ;fitness;;;Deletion;2500: Fabrizio et al. (2010) "Genome-wide screen in Saccharomyces cerevisiae identifies vacuolar protein sorting, autophagy, biosynthetic, and tRNA methylation genes involved in life span regulation."  PLoS Genet. 6(7):e1001024 (20657825)
152;173425;D1069.3;D1069.3b;Caenorhabditis elegans;Cel.15588;D1069.3;;;decrease;RNA interference decreased median lifespan by 27% in daf-2 mutants.;pro;;;RNA interference;2239: Samuelson et al. (2007) "Gene activities that mediate increased life span of C. elegans insulin-like signaling mutants."  Genes Dev. 21(22):2976-2994 (18006689)
912;172510;D2030.1;Alpha-1,2-mannosidase I;Caenorhabditis elegans;;D2030.1;;;increase;RNAi led to 9% extension in mean lifespan;anti;;9;RNA interference;2386: Liu et al. (2009) "Reduced expression of alpha-1,2-mannosidase I extends lifespan in Drosophila melanogaster and Caenorhabditis elegans."  Aging Cell 8(4):370-379 (19302370)
153;172513;D2030.4;Protein D2030.4;Caenorhabditis elegans;Cel.18342;D2030.4;;;increase;RNAi resulted in lifespan extension.;anti;;;RNA interference;2236: Hamilton et al. (2005) "A systematic RNAi screen for longevity genes in C. elegans."  Genes Dev. 19(13):1544-1555 (15998808)
153;172513;D2030.4;Protein D2030.4;Caenorhabditis elegans;Cel.18342;D2030.4;;;increase;RNA interference extends lifespan by about 40%.;anti;;40;RNA interference;2235: Lee et al. (2003) "A systematic RNAi screen identifies a critical role for mitochondria in C. elegans longevity."  Nat. Genet. 33(1):40-48 (12447374)
155;174387;D2085.3;Protein D2085.3;Caenorhabditis elegans;Cel.5496;D2085.3;;;increase;RNA interference in adulthood extended mean lifespan by 18%.;anti;;;RNA interference;2246: Chen et al. (2007) "Longevity determined by developmental arrest genes in Caenorhabditis elegans."  Aging Cell 6(4):525-533 (17521386)
156;176829;daf-1;abnormal DAuer Formation;Caenorhabditis elegans;Cel.5220;F29C4.1;;;increase;Mutation in adults increased mean lifespan by up to 46% and maximum lifespan by 50%.;anti;50;46;Mutation;2252: Shaw et al. (2007) "The C. elegans TGF-beta Dauer pathway regulates longevity via insulin signaling."  Curr. Biol. 17(19):1635-1645 (17900898)
239;184883;daf-10;abnormal DAuer Formation;Caenorhabditis elegans;Cel.26567;F23B2.4;;;increase;Loss-of-function mutation increases lifespan up to 60%.;anti;;60;Mutation;2265: Apfeld and Kenyon (1999) "Regulation of lifespan by sensory perception in Caenorhabditis elegans."  Nature 402(6763):804-809 (10617200)
157;181263;daf-12;Abnormal DAuer Formation;Caenorhabditis elegans;Cel.18135;F11A1.3;;;;daf-12(rh61rh411) is a class 3 daf-12 allele which is daf-d and results in shortened lifespan. This allele represents a putative null allele as it has two nonsense mutations affecting both the DNA binding domain (DBD) and ligand-binding domain (LBD). daf-12(rh273) is a class 6 daf-12 allele which is daf-c and results in lengthened lifespan. This allele has a R564H mutation altering a residue that in the thyroid hormone receptor makes direct contact with ligand and is believed to result in hormone insensitivity.daf-12(rh273) was much longer lived than the daf-12(rh61rh411) and showed a modest but significant increase in lifespan compared with wild-type N2 worms. The daf-12(rh273) allele results in a 38% increase in lifespan compared with daf-12(rh61rh411) and a 10% increase in lifespan compared with wild-type worms;;;;Mutations;2487: Fisher and Lithgow (2006) "The nuclear hormone receptor DAF-12 has opposing effects on Caenorhabditis elegans lifespan and regulates genes repressed in multiple long-lived worms."  Aging Cell 5(2):127-138 (16626392)
157;181263;daf-12;Abnormal DAuer Formation;Caenorhabditis elegans;Cel.18135;F11A1.3;;;increase;Mutations in daf-2 and daf-12, but not mutations in daf-12 alone, nearly quadruple lifespan.;anti;;;Mutation;2275: Larsen et al. (1995) "Genes that regulate both development and longevity in Caenorhabditis elegans."  Genetics 139(4):1567-1583 (7789761)
158;177908;daf-14;abnormal DAuer Formation;Caenorhabditis elegans;Cel.9304;F01G10.8;;;increase;Mutation in adults increased mean lifespan by up to 44% and maximum lifespan by 50%.;anti;50;44;Mutation;2252: Shaw et al. (2007) "The C. elegans TGF-beta Dauer pathway regulates longevity via insulin signaling."  Curr. Biol. 17(19):1635-1645 (17900898)
159;177770;daf-15;Abnormal DAuer Formation;Caenorhabditis elegans;Cel.7998;C10C5.6;;;increase;Mutations in daf-15 (raptor) extend adult lifespan.;anti;;;Mutation;1321: Jia et al. (2004) "The TOR pathway interacts with the insulin signaling pathway to regulate C. elegans larval development, metabolism and life span."  Development 131(16):3897-3906 (15253933)
160;172981;daf-16;Abnormal DAuer Formation DAF-16, fork head-related transcription factor (daf-16);Caenorhabditis elegans;Cel.18378;R13H8.1;;;;The increased lifespan of daf-2 and daf-23 mutants is suppressed completely by a daf-16 mutation.;pro;;;Mutations;2275: Larsen et al. (1995) "Genes that regulate both development and longevity in Caenorhabditis elegans."  Genetics 139(4):1567-1583 (7789761)
160;172981;daf-16;Abnormal DAuer Formation DAF-16, fork head-related transcription factor (daf-16);Caenorhabditis elegans;Cel.18378;R13H8.1;;;decrease;70% decrease in median lifespan in daf-2 background and 45% decrease in lifespan in wild-type background.;pro;;45;RNA interference;2239: Samuelson et al. (2007) "Gene activities that mediate increased life span of C. elegans insulin-like signaling mutants."  Genes Dev. 21(22):2976-2994 (18006689)
160;172981;daf-16;Abnormal DAuer Formation DAF-16, fork head-related transcription factor (daf-16);Caenorhabditis elegans;Cel.18378;R13H8.1;;;decrease;Mutations in daf-16 suppress the life-extension caused by several mutations, including daf-2.;pro;;;Mutation;239: Kenyon et al. (1993) "A C. elegans mutant that lives twice as long as wild type."  Nature 366(6454):461-464 (8247153)
161;176869;daf-18;Abnormal DAuer Formation;Caenorhabditis elegans;Cel.22643;T07A9.6;;;;The increased lifespan of daf-2 mutants is partially suppressed in a daf- 2, daf-18 double mutant.;pro;;;Mutations;2275: Larsen et al. (1995) "Genes that regulate both development and longevity in Caenorhabditis elegans."  Genetics 139(4):1567-1583 (7789761)
161;176869;daf-18;Abnormal DAuer Formation;Caenorhabditis elegans;Cel.22643;T07A9.6;;;increase;Overexpression resulted in a 30% mean lifespan extension.;pro;;30;Overexpression;2454: Brisbin et al. (2009) "A role for C. elegans Eph RTK signaling in PTEN regulation."  Dev. Cell 17(4):459-469 (19853560)
161;176869;daf-18;Abnormal DAuer Formation;Caenorhabditis elegans;Cel.22643;T07A9.6;;;increase;Required for complete dauer formation. Overexpression increases adult lifespan in individual tissues.;pro;;;Overexpression;2276: Masse et al. (2005) "Lifespan and dauer regulation by tissue-specific activities of Caenorhabditis elegans DAF-18."  Dev. Biol. 286(1):91-9101 (16153634)
161;176869;daf-18;Abnormal DAuer Formation;Caenorhabditis elegans;Cel.22643;T07A9.6;;;decrease;Knockdown of daf-18 decreased lifespan.;pro;;;RNA interference;3259: Nojima et al. (2013) "Haploinsufficiency of akt1 prolongs the lifespan of mice."  PLoS ONE 8(7):e69178 (23935948)
162;174577;daf-19;Abnormal DAuer Formation;Caenorhabditis elegans;Cel.19518;F33H1.1;;;increase;Loss-of-function mutations increase lifespan up to 50%.;anti;;50;Mutation;2265: Apfeld and Kenyon (1999) "Regulation of lifespan by sensory perception in Caenorhabditis elegans."  Nature 402(6763):804-809 (10617200)
163;175410;daf-2;abnormal DAuer Formation DAF-2, fork head-related transcription factor (daf-2);Caenorhabditis elegans;Cel.8775;Y55D5A.5;;;increase;Post developmental RNAi resulted in a 79% increase in mean lifespan.;anti;;79;RNA interference;2247: Curran and Ruvkun (2007) "Lifespan regulation by evolutionarily conserved genes essential for viability."  PLoS Genet. 3(4):e56 (17411345)
163;175410;daf-2;abnormal DAuer Formation DAF-2, fork head-related transcription factor (daf-2);Caenorhabditis elegans;Cel.8775;Y55D5A.5;;;increase;RNAi resulted in a 17-22% increase in mean lifespan.;anti;;22;RNA interference;2240: Hansen et al. (2005) "New genes tied to endocrine, metabolic, and dietary regulation of lifespan from a Caenorhabditis elegans genomic RNAi screen."  PLoS Genet. 1(1):119-128 (16103914)
163;175410;daf-2;abnormal DAuer Formation DAF-2, fork head-related transcription factor (daf-2);Caenorhabditis elegans;Cel.8775;Y55D5A.5;;;increase;Mutants show a two-fold increase in lifespan.;anti;;100;Germline ablation in daf-2 mutants;2488: Hsin and Kenyon (1999) "Signals from the reproductive system regulate the lifespan of C. elegans."  Nature 399(6734):362-366 (10360574)
163;175410;daf-2;abnormal DAuer Formation DAF-2, fork head-related transcription factor (daf-2);Caenorhabditis elegans;Cel.8775;Y55D5A.5;;;increase;Mutants show increased lifespan.;anti;;;Mutations;539: Kimura et al. (1997) "daf-2, an insulin receptor-like gene that regulates longevity and diapause in Caenorhabditis elegans."  Science 277(5328):942-946 (9252323)
163;175410;daf-2;abnormal DAuer Formation DAF-2, fork head-related transcription factor (daf-2);Caenorhabditis elegans;Cel.8775;Y55D5A.5;;;increase;Mutations in the daf-2 gene double adult lifespan.;anti;;100;Mutations;2275: Larsen et al. (1995) "Genes that regulate both development and longevity in Caenorhabditis elegans."  Genetics 139(4):1567-1583 (7789761)
163;175410;daf-2;abnormal DAuer Formation DAF-2, fork head-related transcription factor (daf-2);Caenorhabditis elegans;Cel.8775;Y55D5A.5;;;increase;Mutants show a 2-3 fold increase in lifespan.;anti;;200;Mutations;189: Wolkow et al. (2000) "Regulation of C. elegans life-span by insulinlike signaling in the nervous system."  Science 290(5489):147-150 (11021802)
163;175410;daf-2;abnormal DAuer Formation DAF-2, fork head-related transcription factor (daf-2);Caenorhabditis elegans;Cel.8775;Y55D5A.5;;;increase;Mutants live more than twice as long as controls. This lifespan extension requires the activity of daf-16.;anti;;100;Mutation;239: Kenyon et al. (1993) "A C. elegans mutant that lives twice as long as wild type."  Nature 366(6454):461-464 (8247153)
164;191014;daf-28;Abnormal DAuer Formation;Caenorhabditis elegans;Cel.1435;Y116F11B.1;;;increase;Semi-dominant mutation increases lifespan by 10-15%.;pro;;15;Mutation;2277: Malone et al. (1996) "Genetic analysis of the roles of daf-28 and age-1 in regulating Caenorhabditis elegans dauer formation."  Genetics 143(3):1193-1205 (8807293)
165;180431;daf-3;abnormal DAuer Formation;Caenorhabditis elegans;Cel.1120;F25E2.5;;;decrease;Mutation in adults decreased mean lifespan by 6-16% and maximum lifespan by up to 30%.;anti;30;16;Mutation;2252: Shaw et al. (2007) "The C. elegans TGF-beta Dauer pathway regulates longevity via insulin signaling."  Curr. Biol. 17(19):1635-1645 (17900898)
166;175781;daf-4;abnormal DAuer Formation;Caenorhabditis elegans;Cel.6349;C05D2.1;;;increase;Mutation in adults increased mean lifespan by up to 120% and maximum lifespan by up to 185%.;anti;185;120;Mutation;2252: Shaw et al. (2007) "The C. elegans TGF-beta Dauer pathway regulates longevity via insulin signaling."  Curr. Biol. 17(19):1635-1645 (17900898)
167;175054;daf-5;abnormal DAuer Formation;Caenorhabditis elegans;Cel.8086;W01G7.1;;;decrease;Mutation in adults reduced mean and maximum lifespan by 20%.;pro;20;20;Mutation;2252: Shaw et al. (2007) "The C. elegans TGF-beta Dauer pathway regulates longevity via insulin signaling."  Curr. Biol. 17(19):1635-1645 (17900898)
168;181584;daf-6;abnormal DAuer Formation;Caenorhabditis elegans;Cel.619;F31F6.5;;;increase;Loss-of-function mutations extend lifespan by up to 50%.;anti;;50;Mutation;2265: Apfeld and Kenyon (1999) "Regulation of lifespan by sensory perception in Caenorhabditis elegans."  Nature 402(6763):804-809 (10617200)
169;175237;daf-7;abnormal DAuer Formation;Caenorhabditis elegans;Cel.19630;B0412.2;;;increase;Mutations cause up to 50% mean and maximum life-extension. This effect is dependent upon daf-3 and on daf-16 but independent of daf-2. RNA interference increased mean lifespan by 30% and maximum lifespan by 10%.;anti;50;50;Mutation;2252: Shaw et al. (2007) "The C. elegans TGF-beta Dauer pathway regulates longevity via insulin signaling."  Curr. Biol. 17(19):1635-1645 (17900898)
170;187612;daf-8;abnormal DAuer Formation;Caenorhabditis elegans;Cel.167;R05D11.1;;;increase;Mutation in adults increased mean lifespan by 31% but it did not increase maximum lifespan.;anti;;31;Mutation;2252: Shaw et al. (2007) "The C. elegans TGF-beta Dauer pathway regulates longevity via insulin signaling."  Curr. Biol. 17(19):1635-1645 (17900898)
171;180889;daf-9;abnormal DAuer Formation;Caenorhabditis elegans;Cel.9170;T13C5.1;;;increase;Some mutations of daf-9 increase lifespan by 74%.;anti;;74;Mutations;2244: Jia and Levine (2007) "Autophagy is required for dietary restriction-mediated life span extension in C. elegans."  Autophagy 3(6):597-599 (17912023)
171;180889;daf-9;abnormal DAuer Formation;Caenorhabditis elegans;Cel.9170;T13C5.1;;;increase;Mutations increase lifespan up to 52%.;anti;;52;Mutation;2278: Gerisch et al. (2001) "A hormonal signaling pathway influencing C. elegans metabolism, reproductive development, and life span."  Dev. Cell 1(6):841-851 (11740945)
1930;3565075;dagl-2;DiAcylGlycerol Lipase homolog;Caenorhabditis elegans;.10495;;;;increase;Overexpression of dagl-2 (an ortholog of the fly inaE) extends mean lifespan by up to 13%. Conversely, RNA interference of dagl-2 results in a lifespan decrease of up to 14%, while loss-of-function mutantions result in a shorten lifespan by up to 20%.;pro;;13;Overexpression;3534: Lin et al. (2014) "Diacylglycerol lipase regulates lifespan and oxidative stress response by inversely modulating TOR signaling in Drosophila and C. elegans."  Aging Cell 13(4):755-764 (24889782)
1742;856423;DAP2;YHR028C;Saccharomyces cerevisiae;;YHR028C;;DPP2;decrease;DAP2 deletion decreases mean and maximum replicative lifespan under ad libitum, and cancels the lifespan extending effect of moderate dietary restriction.;fitness;36;19;Deletion;2549: Wuttke et al. (2012) "Dissecting the gene network of dietary restriction to identify evolutionarily conserved pathways and new functional genes."  PLoS Genet. 8(8):e1002834 (22912585)
1554;851583;DAS2;Dst1-delta 6-Azauracil Sensitivity;Saccharomyces cerevisiae;;YDR020C;;RRT3;increase;Replicative lifespan increased by 25% in the alpha strain ;anti;;25;Deletion;2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
1899;33474;daw;dawdle;Drosophila melanogaster;;;;;increase;Post developmental RNA interference of Daw in the whole body increases lifespan by up to 35%. Tissue specific RNA interference also increases lifespan mildly (by ~11%) in muscle but not in adipose tissue (where it decreases lifespan). ;anti;;35.3;Post developmental RNA interference;3513: Bai et al. (2013) "Activin signaling targeted by insulin/dFOXO regulates aging and muscle proteostasis in Drosophila."  PLoS Genet. 9(11):e1003941 (24244197)
1555;852984;DBF2;DumbBell Forming;Saccharomyces cerevisiae;;YGR092W;;;decrease;Replicative lifespan decreased by 60% in the alpha strain ;fitness;;60;Deletion;2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
1362;855984;DBP1;Dead Box Protein;Saccharomyces cerevisiae;;YPL119C;;LPH8;decrease;Mean chronological lifespan decreased in the a strain by less than 50% but more than 15%;fitness;;50;Deletion;2502: Laschober et al. (2010) "Identification of evolutionarily conserved genetic regulators of cellular aging."  Aging Cell 9(6):1084-1097 (20883526)
1702;852802;DBP3;Dead Box Protein;Saccharomyces cerevisiae;;YGL078C;;;increase;Replicative lifespan increased by 35% in the alpha strain and by 20% in the a strain;anti;;35;Deletion;2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
1048;850819;DCN1;Defective in Cullin Neddylation;Saccharomyces cerevisiae;;YLR128W;;;decrease;Mean replicative lifespan decreased in the alpha and a strain ;fitness;;;Deletion;2500: Fabrizio et al. (2010) "Genome-wide screen in Saccharomyces cerevisiae identifies vacuolar protein sorting, autophagy, biosynthetic, and tRNA methylation genes involved in life span regulation."  PLoS Genet. 6(7):e1001024 (20657825)
1858;176138;dcr-1;Endoribonuclease dcr-1;Caenorhabditis elegans;.38691;;;;decrease;Under normal growth conditions (20C) or modest heat stress (> 28C), dcr-1 mutants (Dicer-deficient) have decreased mean and maximum lifespan.;pro;20;;Mutation;3490: Mori et al. (2012) "Role of microRNA processing in adipose tissue in stress defense and longevity."  Cell Metab. 16(3):336-347 (22958919)
725;189237;dct-11;DAF-16/FOXO Controlled, germline Tumor affecting;Caenorhabditis elegans;Cel.19818;W06B11.3;;;decrease;W06B11.3 stimulates the growth of gld-1 tumors. RNA interference increased mean lifespan up to 19% in a gld-1 mutant background and reduced mean lifespan by 10% in a wild-type background.;pro;;10;2291: Pinkston-Gosse and Kenyon (2007) "DAF-16/FOXO targets genes that regulate tumor growth in Caenorhabditis elegans."  Nat. Genet. 39(11):1403-1409 (17934462)
762;190351;dct-12;DAF-16/FOXO Controlled, germline Tumor affecting;Caenorhabditis elegans;Cel.13870;Y57A10C.7;;;increase;Y57A10C.7 appears to stimulate the growth of gld-1 tumours. RNA interference increased mean lifespan by 14% in wild type animals, 16% in daf-16 mutants and 12% in gld-1 mutants.;anti;;14;RNA interference;2291: Pinkston-Gosse and Kenyon (2007) "DAF-16/FOXO targets genes that regulate tumor growth in Caenorhabditis elegans."  Nat. Genet. 39(11):1403-1409 (17934462)
738;178476;dct-13;DAF-16/FOXO Controlled, germline Tumor affecting;Caenorhabditis elegans;Cel.11657;Y116A8C.17;;;increase;Y116A8C.17 appears to stimulate the growth of gld-1 tumours. RNA interference increased mean lifespan by 23% and maximum lifespan by 20% in wild type animals. It also increased mean lifespan by 21% in daf-16 mutants and 13% in gld-1 mutants.;anti;20;23;RNA interference;2291: Pinkston-Gosse and Kenyon (2007) "DAF-16/FOXO targets genes that regulate tumor growth in Caenorhabditis elegans."  Nat. Genet. 39(11):1403-1409 (17934462)
742;189684;dct-14;DAF-16/FOXO Controlled, germline Tumor affecting;Caenorhabditis elegans;Cel.1864;Y38H6C.3;;;increase;Y38H6C.3 appears to stimulate the growth of gld-1 tumours. RNA interference increased mean lifespan by 19% in wild type animals, 21% in daf-16 mutants and 13% in gld-1 mutants.;anti;;19;RNA interference;2291: Pinkston-Gosse and Kenyon (2007) "DAF-16/FOXO targets genes that regulate tumor growth in Caenorhabditis elegans."  Nat. Genet. 39(11):1403-1409 (17934462)
728;189289;dct-15;DAF-16/FOXO Controlled, germline Tumor affecting;Caenorhabditis elegans;Cel.12209;W08D2.3;;;increase;W08D2.3 appears to stimulate the growth of gld-1 tumours. RNA interference increased mean lifespan up to 10% in wild type animals and 9% in gld-1 mutants.;anti;;10;RNA interference;2291: Pinkston-Gosse and Kenyon (2007) "DAF-16/FOXO targets genes that regulate tumor growth in Caenorhabditis elegans."  Nat. Genet. 39(11):1403-1409 (17934462)
